エレベーターID,更新日,契約状況,台数,地区,契約日,保守開始月,現場区分,管理番号,旧管理番号,入札判定,契約方式,請求サイクル　数字,契約金額,点検者制約（資格者等）,現場名,現場名ﾌﾘｶﾞﾅ,現場郵便番号,現場住所,マップ,現場TEL,現場FAX,昇降機種別,その他(種別),メーカー,その他(メーカー),機種,旧機種,部品供給停止予定,照明LED化完了日,巻上機型式,駆動方式,その他(駆動方式),製造年月日,リニューアル施工年月,MFG番号,定員,その他(定員),積載,その他(積載),速度,その他(速度),停止階床,遠隔監視種別,遠隔監視装置　回線種別,遠隔監視装置　回線番号,egsコード,点検サイクル,検査有効月,検査実施月,整理番号,契約者,契約者ﾌﾘｶﾞﾅ,契約者（役職名）,契約者（法人）代表者名,契約者（法人）代表者名ﾌﾘｶﾞﾅ,契約者郵便番号,契約者住所,契約者TEL,契約者FAX,報告書郵送先,請求サイクル,所有者,所有者ﾌﾘｶﾞﾅ,所有者郵便番号,所有者住所,所有者TEL,所有者FAX,管理者,管理者ﾌﾘｶﾞﾅ,管理者郵便番号,管理者住所,管理者TEL,管理者FAX,備考,点検連絡など担当者、報告書,鍵保管場所
E-000001295,2025/7/4 9:43,契約中,1,佐世保,,2023年10月,他社,NS-385,,一般,YP4,1,4000,制約なし,介護付有料老人ホーム　白岳ホーム　２号機,ｶｲｺﾞﾂｷﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｼﾗﾀｹﾎｰﾑﾆｺﾞｳｷ,857-1164,長崎県佐世保市白岳町606-4,https://www.bing.com/ck/a?!&&p=4c0629d0e2fadea7JmltdHM9MTY5ODE5MjAwMCZpZ3VpZD0wZmViNWYzNi04YTRhLTY3ZjAtMWMyNi00ZDQwOGI5ODY2MDYmaW5zaWQ9NTYxOQ&ptn=3&hsh=3&fclid=0feb5f36-8a4a-67f0-1c26-4d408b986606&u=a1L21hcHM_Jm1lcGk9MjN-flRvcE9mUGFnZX5MYXJnZU1hcExpbmsmdHk9MTgmcT0lRTMlODAlOTI4NTctMTE2NCUyMCVFOSU5NSVCNyVFNSVCNCU4RSVFNyU5QyU4QyVFNCVCRCU5MCVFNCVCOCU5NiVFNCVCRiU5RCVFNSVCOCU4MiVFNyU5OSVCRCVFNSVCMiVCMyVFNyU5NCVCQTYwNi00JnBwb2lzPTMzLjE1MjgwMTk4NTY1OTk4XzEyOS43NTM4ODIwNTUwMjQ5NV8lRTMlODAlOTI4NTctMTE2NCUyMCVFOSU5NSVCNyVFNSVCNCU4RSVFNyU5QyU4QyVFNCVCRCU5MCVFNCVCOCU5NiVFNCVCRiU5RCVFNSVCOCU4MiVFNyU5OSVCRCVFNSVCMiVCMyVFNyU5NCVCQTYwNi00X34mY3A9MzMuMTUyODAyfjEyOS43NTM4ODImdj0yJnNWPTEmRk9STT1NSVJFJnFwdnQ9JWU5JTk1JWI3JWU1JWI0JThlJWU3JTljJThjJWU0JWJkJTkwJWU0JWI4JTk2JWU0JWJmJTlkJWU1JWI4JTgyJWU3JTk5JWJkJWU1JWIyJWIzJWU3JTk0JWJhNjA2LTQ&ntb=1,0956-33-0071,,リフト(テーブルタイプ),,菱電,,,,,,,ロープ式,,,,,,,100kg,,,,2st,,,,,"1月	4月	7月	10月",検査なし,未定,,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳ,,,,812-0013,福岡県福岡市博多区博多駅東1丁目18-25,092-436-5050,092-414-1290,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000001296,2025/7/29 11:37,契約中,1,佐世保,,2023年10月,他社,NS-386,,一般,YP4,1,11000,制約なし,グループホーム白岳,ｸﾞﾙｰﾌﾟﾎｰﾑｼﾗﾀｹ,857-1164,長崎県佐世保市白岳町604,https://www.bing.com/ck/a?!&&p=b0f9089f232a4053JmltdHM9MTY5ODE5MjAwMCZpZ3VpZD0wZmViNWYzNi04YTRhLTY3ZjAtMWMyNi00ZDQwOGI5ODY2MDYmaW5zaWQ9NTYxOQ&ptn=3&hsh=3&fclid=0feb5f36-8a4a-67f0-1c26-4d408b986606&u=a1L21hcHM_Jm1lcGk9MjN-flRvcE9mUGFnZX5MYXJnZU1hcExpbmsmdHk9MTgmcT0lRTMlODAlOTI4NTctMTE2NCUyMCVFOSU5NSVCNyVFNSVCNCU4RSVFNyU5QyU4QyVFNCVCRCU5MCVFNCVCOCU5NiVFNCVCRiU5RCVFNSVCOCU4MiVFNyU5OSVCRCVFNSVCMiVCMyVFNyU5NCVCQTYwNCZwcG9pcz0zMy4xNTMxNTc1MTI2NjMwOF8xMjkuNzU0MDU5ODEyNTUxNTNfJUUzJTgwJTkyODU3LTExNjQlMjAlRTklOTUlQjclRTUlQjQlOEUlRTclOUMlOEMlRTQlQkQlOTAlRTQlQjglOTYlRTQlQkYlOUQlRTUlQjglODIlRTclOTklQkQlRTUlQjIlQjMlRTclOTQlQkE2MDRffiZjcD0zMy4xNTMxNTh-MTI5Ljc1NDA2JnY9MiZzVj0xJkZPUk09TUlSRSZxcHZ0PSVlOSU5NSViNyVlNSViNCU4ZSVlNyU5YyU4YyVlNCViZCU5MCVlNCViOCU5NiVlNCViZiU5ZCVlNSViOCU4MiVlNyU5OSViZCVlNSViMiViMyVlNyU5NCViYTYwNA&ntb=1,0956-33-0020,,ルームレスエレベーター,,三菱,,,,,,,ルームレス,,,,,9人,,600㎏,,,,5st,,,,,"1月	4月	7月	10月",7月,未定,0000-01235,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳ,,,,812-0013,福岡県福岡市博多区博多駅東1丁目18-25,092-436-5050,092-414-1290,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000001297,2025/7/29 11:37,契約中,1,佐世保,,2023年10月,他社,NS-387,,一般,YP4,1,11000,制約なし,ないすケアみなとまち,ﾅｲｽｹｱﾐﾅﾄﾏﾁ,857-0055,長崎県佐世保市湊町5-5,https://www.bing.com/ck/a?!&&p=83e20a7bfb4c45c6JmltdHM9MTY5ODE5MjAwMCZpZ3VpZD0wZmViNWYzNi04YTRhLTY3ZjAtMWMyNi00ZDQwOGI5ODY2MDYmaW5zaWQ9NTU5Mw&ptn=3&hsh=3&fclid=0feb5f36-8a4a-67f0-1c26-4d408b986606&u=a1L21hcHM_Jm1lcGk9MjN-flRvcE9mUGFnZX5MYXJnZU1hcExpbmsmdHk9MTgmcT0lRTMlODAlOTI4NTctMDA1NSUyMCVFOSU5NSVCNyVFNSVCNCU4RSVFNyU5QyU4QyVFNCVCRCU5MCVFNCVCOCU5NiVFNCVCRiU5RCVFNSVCOCU4MiVFNiVCOSU4QSVFNyU5NCVCQTUtNSZwcG9pcz0zMy4xNzI4OTA3MDcyMDgzMl8xMjkuNzE3OTYyNTM3NzcxNjVfJUUzJTgwJTkyODU3LTAwNTUlMjAlRTklOTUlQjclRTUlQjQlOEUlRTclOUMlOEMlRTQlQkQlOTAlRTQlQjglOTYlRTQlQkYlOUQlRTUlQjglODIlRTYlQjklOEElRTclOTQlQkE1LTVffiZjcD0zMy4xNzI4OTF-MTI5LjcxNzk2MyZ2PTImc1Y9MSZGT1JNPU1JUkUmcXB2dD0lZTklOTUlYjclZTUlYjQlOGUlZTclOWMlOGMlZTQlYmQlOTAlZTQlYjglOTYlZTQlYmYlOWQlZTUlYjglODIlZTYlYjklOGElZTclOTQlYmE1LTU&ntb=1,0956-23-2880,,ルームレスエレベーター,,フジテック,,,,,,,ルームレス,,,,,11人,,750㎏,,,,6st,,,,,"1月	4月	7月	10月",5月,4月,0000-01623,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳ,,,,812-0013,福岡県福岡市博多区博多駅東1丁目18-25,092-436-5050,092-414-1290,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000001298,2025/7/4 9:43,解約,0,長崎,,1994年9月,自社,107-0077-02a,,一般,SP,1,4000,2名(無資格者可),【解約】中嶋クリニック（ターンテーブル）,ﾅｶｼﾏｸﾘﾆｯｸ(ﾀｰﾝﾃｰﾌﾞﾙ),852-8123,長崎県長崎市三原町2-11-50,"https://www.google.co.jp/maps/place/%E4%B8%AD%E5%B6%8B%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@32.7839413,129.8433712,14z/data=!4m10!1m2!2m1!1z5Lit5baL44Kv44Oq44OL44OD44Kv!3m6!1s0x356aac94bb73d339:0x1ec80ae9f69e3716!8m2!3d32.7839413!4d129.8794201!15sChXkuK3ltovjgq_jg6rjg4vjg4Pjgq-SARJvcnRob3BlZGljX3N1cmdlb27gAQA!16s%2Fg%2F1tdwhd1s?entry=ttu",095-843-4545,095-840-0708,ターンテーブル,,,,,,,,,,,,,,,,,,,,,,,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",検査なし,未定,0999-00090,中嶋クリニック院長中嶋眞,ﾅｶｼﾏｸﾘﾆｯｸｲﾝﾁｮｳﾅｶｼﾏ,,,,852-8123,長崎県長崎市三原町2-11-50,095-843-4545,095-840-0708,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",中嶋クリニック院長中嶋眞,ﾅｶｼﾏｸﾘﾆｯｸｲﾝﾁｮｳﾅｶｼﾏ,852-8123,長崎県長崎市三原町２－１１－５０,095-843-4545,095-840-0708,中嶋クリニック院長中嶋眞,ﾅｶｼﾏｸﾘﾆｯｸｲﾝﾁｮｳﾅｶｼﾏ,852-8123,長崎県長崎市三原町２－１１－５０,095-843-4545,095-840-0708,"2023.10　ｵｰﾅｰ変更
院長中嶋 眞様　なくなられて　中嶋みどり様へ",,
E-000001299,2025/7/4 9:43,契約中,0,佐世保,,2021年3月,自社,N42-0494K,107-0638-01K,一般,SP,6,40000,資格者+補助者,メインベースエレメンタリースクール（検査費用）,ﾒｲﾝﾍﾞｰｽｴﾚﾒﾝﾀﾘｰｽｸｰﾙ,857-0056,長崎県佐世保市平瀬町官有無番地,https://map.yahoo.co.jp/address?ac=42202&az=MTU2&lat=33.16974&lon=129.71060&zoom=17&maptype=basic,,,段差解消機,,その他,ASCENSION,型式不明,,,,,,,,,,,,その他,408㎏,その他,1.5ｍ/min,,,,,,メインレコード参照,検査なし,未定,,いずみサポート株式会社　佐世保営業所,ｲﾂﾐｻﾎﾟｰﾄｶﾌﾞｼｷｶｲｼｬ ｻｾﾎﾞｴｲｷﾞｮｳｼｮ,,,,857-0801,佐世保市祇園町19-3,0956-37-8800,0956-37-8801,,"5月	11月",,,,,,,いずみサポート株式会社　佐世保営業所,ｲﾂﾐｻﾎﾟｰﾄｶﾌﾞｼｷｶｲｼｬ ｻｾﾎﾞｴｲｷﾞｮｳｼｮ,857-0801,佐世保市祇園町１９－３,0956-37-8800,0956-37-8801,年2回の検査費用,,
E-000001300,2025/7/29 11:37,契約中,1,長崎,,2023年11月,自社,N42-0686,107-1007-01,一般,YP6V,1,14000,制約なし,癌研ＰＥＴ／ＣＴ画像診断センター,ｶﾞﾝｹﾝﾍﾟｯﾄｼｰﾃｨｰｶﾞｿﾞｳｼﾝﾀﾞﾝｾﾝﾀｰ,854-0063,長崎県諫早市貝津町3015,"https://www.google.co.jp/maps/place/%E8%A5%BF%E8%AB%AB%E6%97%A9%E7%97%85%E9%99%A2%E7%99%8C%E7%A0%94%EF%BC%B0%EF%BC%A5%EF%BC%B4%E3%83%BB%EF%BC%A3%EF%BC%B4%E7%94%BB%E5%83%8F%E8%A8%BA%E6%96%AD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@32.8373964,130.0172775,17z/data=!3m1!4b1!4m6!3m5!1s0x354002e1af720273:0xaec44e9bc1878633!8m2!3d32.8373964!4d130.0198524!16s%2Fg%2F1xcbmd59?entry=ttu",0957-25-6666,,ルームレスエレベーター,,オーチス,,REVO2,,,,,,,2004/1/1,,56NS3225,11人,,750㎏,,45m/min,,2st,egs,LTE,8069815253,133,"1月	3月	5月	7月	9月	11月",6月,5月,1528-01923,医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,,,,854-0063,長崎県諫早市貝津町3015,0957-25-6666,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,0957-25-6666,,医療法人祥仁会　癌研ＰＥＴ／ＣＴ画像診断センター,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,,,,点検メール要　貼紙要　報告書現地　本多様　0957-26-9231,
E-000001301,2025/7/29 11:37,契約中,1,長崎,,2023年11月,自社,N42-0684,107-1006-01,一般,YP6V,1,14000,制約なし,西諫早病院　１号機,ﾆｼｲｻﾊﾔﾋﾞｮｳｲﾝｲﾁｺﾞｳｷ,854-0063,長崎県諫早市貝津町3015,"https://www.google.co.jp/maps/place/%E8%A5%BF%E8%AB%AB%E6%97%A9%E7%97%85%E9%99%A2/@32.837175,130.0174689,17z/data=!3m1!4b1!4m6!3m5!1s0x354002e1af720273:0x50cb826509825505!8m2!3d32.837175!4d130.0200438!16s%2Fg%2F1tj945pc?entry=ttu",0957-25-1150,,ロープ式エレベーター,,東芝,,CV60A,,,,,,,1988/7/1,,DG01809DV102,11人,,750㎏,,60m/min,,3st,egs,LTE,8058037942,47,"1月	3月	5月	7月	9月	11月",6月,5月,0457-00645,医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,,,,854-0063,長崎県諫早市貝津町3015,0957-25-1150,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,0957-25-1150,,医療法人祥仁会　西諫早病院,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,,,,点検メール要　貼紙要　報告書現地　本多様　0957-26-9231,
E-000001302,2025/7/4 9:43,契約中,1,長崎,,2023年11月,自社,N42-0685,107-1006-02,一般,YP6,1,4500,制約なし,西諫早病院　２号機,ﾆｼｲｻﾊﾔﾋﾞｮｳｲﾝﾆｺﾞｳｷ,854-0063,長崎県諫早市貝津町3015,"https://www.google.co.jp/maps/place/%E8%A5%BF%E8%AB%AB%E6%97%A9%E7%97%85%E9%99%A2/@32.837175,130.0174689,17z/data=!3m1!4b1!4m6!3m5!1s0x354002e1af720273:0x50cb826509825505!8m2!3d32.837175!4d130.0200438!16s%2Fg%2F1tj945pc?entry=ttu",0957-25-1150,,リフト(フロアタイプ),,クマリフト,,M,,,,,ロープ式,,1988/6/1,,KF-4641-V,,,50kg,,,,3st,無し,,,,"1月	3月	5月	7月	9月	11月",検査なし,未定,,医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,,,,854-0063,長崎県諫早市貝津町3015,0957-25-1150,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,0957-25-1150,,医療法人祥仁会　西諫早病院,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,,,,点検メール要　貼紙要　報告書現地　本多様　0957-26-9231,
E-000001303,2025/7/29 11:37,契約中,1,長崎,,2023年11月,自社,N42-0687,107-1008-01,一般,YP6V,1,14000,制約なし,ろうけん西諫早　１号機,ﾛｳｹﾝﾆｼｲｻﾊﾔｲﾁｺﾞｳｷ,854-0063,長崎県諫早市貝津町3015,"https://www.google.co.jp/maps/place/%E3%82%8D%E3%81%86%E3%81%91%E3%82%93%E8%A5%BF%E8%AB%AB%E6%97%A9/@32.8370328,130.0178497,17z/data=!4m10!1m2!2m1!1z44KN44GG44GR44KT6KW_6KuM5pep!3m6!1s0x354002e1b0062485:0x724981e1c1c63a46!8m2!3d32.8370328!4d130.0204246!15sChXjgo3jgYbjgZHjgpPopb_oq4zml6mSAQ5udXJzaW5nX2FnZW5jeeABAA!16s%2Fg%2F1tg_77ht?entry=ttu",0957-25-2266,,油圧式エレベーター,,東芝,,CH100,,,,,,,1988/7/1,,DG01809DV102,15人,,1000kg,,60m/min,,3st,VESPlus,,090-3306-1494,,"1月	3月	5月	7月	9月	11月",6月,5月,0961-01250,医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,,,,854-0063,長崎県諫早市貝津町3015,0957-25-2266,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,0957-25-2266,,医療法人祥仁会　ろうけん西諌早,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,,,,点検メール要　貼紙要　報告書現地　西村様,
E-000001304,2025/7/29 11:37,契約中,1,長崎,,2023年11月,自社,N42-0688,107-1008-02,一般,YP6V,1,14000,制約なし,ろうけん西諫早　２号機,ﾛｳｹﾝﾆｼｲｻﾊﾔﾆｺﾞｳｷ,854-0063,長崎県諫早市貝津町3015,"https://www.google.co.jp/maps/place/%E3%82%8D%E3%81%86%E3%81%91%E3%82%93%E8%A5%BF%E8%AB%AB%E6%97%A9/@32.8370328,130.0178497,17z/data=!4m10!1m2!2m1!1z44KN44GG44GR44KT6KW_6KuM5pep!3m6!1s0x354002e1b0062485:0x724981e1c1c63a46!8m2!3d32.8370328!4d130.0204246!15sChXjgo3jgYbjgZHjgpPopb_oq4zml6mSAQ5udXJzaW5nX2FnZW5jeeABAA!16s%2Fg%2F1tg_77ht?entry=ttu",0957-25-2266,,ロープ式エレベーター,,フジテック,,西部製リニューアル,A3LGD,,,,ロープ式,,1993/1/1,2024年11月,RLA1381,15人,,1000kg,,,,5st,egs,LTE,8058037931,43,"1月	3月	5月	7月	9月	11月",6月,5月,0694-00934,医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,,,,854-0063,長崎県諫早市貝津町3015,0957-25-2266,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,,,医療法人祥仁会　ろうけん西諌早,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津町３０１５,,,,点検メール要　貼紙要　報告書現地　西村様,
E-000001305,2025/7/29 11:37,契約中,1,長崎,,2023年11月,自社,N42-0689,107-1009-01,一般,YP6V,1,14000,制約なし,サービス付き高齢者向け住宅西諫早,ｻｰﾋﾞｽﾂｷｺｳﾚｲｼｬﾑｹｼﾞｭｳﾀｸﾆｼｲｻﾊﾔ,854-0063,長崎県諫早市貝津町2884-1,"https://www.google.co.jp/maps/place/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E4%BB%98%E3%81%8D%E9%AB%98%E9%BD%A2%E8%80%85%E5%90%91%E3%81%91%E4%BD%8F%E5%AE%85+%E8%A5%BF%E8%AB%AB%E6%97%A9/@32.8358493,130.0168668,17z/data=!3m1!4b1!4m6!3m5!1s0x354002e30000041d:0x774f9575cae52201!8m2!3d32.8358493!4d130.0194417!16s%2Fg%2F11hfyt1sy8?entry=ttu",0957-25-0100,,ルームレスエレベーター,,三菱,,VFGLB,,,,,,,2016/12/1,,E-GL-718,9人,,600㎏,,60m/min,,4st,egs,LTE,8053231526,134,"1月	3月	5月	7月	9月	11月",3月,未定,2095-02619,医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,,,,854-0063,長崎県諫早市貝津町3015,0957-25-0100,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",医療法人祥仁会,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津２８８４－１,0957-25-0100,,医療法人祥仁会　サービス付き高齢者向け西諫早,ｼｮｳｼﾞﾝｶｲ,854-0063,長崎県諫早市貝津２８８４－１,,,,点検メール要　貼紙要　報告書現地,
E-000001306,2025/7/4 9:43,解約,0,長崎,,2014年10月,自社,N42-0588,107-0885-01,入札,YP1,12,90000,2名(無資格者可),【解約】東公民館,ﾋｶﾞｼｺｳﾐﾝｶﾝ,851-0133,長崎県長崎市矢上町19-1,"https://www.google.com/maps/place/%E3%80%92851-0133+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E7%9F%A2%E4%B8%8A%E7%94%BA%EF%BC%91%EF%BC%99%E2%88%92%EF%BC%91+%E9%95%B7%E5%B4%8E%E5%B8%82%E6%9D%B1%E9%95%B7%E5%B4%8E%E5%9C%B0%E5%9F%9F%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@32.7755806,129.9490162,17z/data=!3m1!4b1!4m6!3m5!1s0x356aaa598d56e837:0xe7411975527aaa0d!8m2!3d32.7755761!4d129.9515911!16s%2Fg%2F11cph56w8s?authuser=0&entry=ttu",095-829-2044,,舞台装置,,,,,,,,,,,,,,,,,,,,,,,,,10月,検査なし,未定,,長崎市長,長崎市長,,,,850-0874,長崎市魚の町4-1,095-822-8888,,,10月,,,,,,,長崎市東総合事務所地域福祉課,ﾅｶﾞｻｷｼﾋｶﾞｼｿｳｺﾞｳｼﾞﾑｼｮﾁｲｷﾌｸｼｶ,851-0133,長崎県長崎市矢上町８－２１,095-813-9001,095-839-6260,"10月舞台装置の点検のみ
故障対応費は含まれていない",,
E-000001307,2025/7/29 11:37,解約,0,長崎,,2022年4月,自社,N42-0519,107-0662-01,入札,YP4,3,7500,制約なし,【解約】島原市立三会小学校,ｼﾏﾊﾞﾗｼﾘﾂﾐｴｼｮｳｶﾞｯｺｳ,855-0005,長崎県島原市中原町1462,"https://www.google.co.jp/maps/place/%E4%B8%89%E4%BC%9A%E5%B0%8F%E5%AD%A6%E6%A0%A1/@32.8166919,130.3486287,3a,75y,347.46h,90t/data=!3m7!1e1!3m5!1s_UKDdZ9tVu-Kk2NfddEZIA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D_UKDdZ9tVu-Kk2NfddEZIA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D224%26h%3D298%26yaw%3D347.46426%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m9!3m8!1s0x35406b78175dbe6d:0x92568c43523c73f6!8m2!3d32.817006!4d130.3485336!10e5!14m1!1BCgIgARICCAI!16s%2Fg%2F11bxfrsjr2?entry=ttu",0957-62-3604,,リフト(フロアタイプ),,,,,,,,,,,,,,,,200kg,,,,3st,,,,,"2月	5月	8月	11月",5月,未定,2471-03022,島原市教育委員会　学校教育課,ｼﾏﾊﾞﾗｼｷｮｳｲｸｲｲﾝｶｲ ｶﾞｯｺｳｷｮｳｲｸｶ,,,,859-1492,島原市有明町大三東戊1327,0957-68-5472,,,"2月	5月	8月	11月",島原市教育委員会　学校教育課,ｼﾏﾊﾞﾗｼｷｮｳｲｸｲｲﾝｶｲ ｶﾞｯｺｳｷｮｳｲｸｶ,859-1492,島原市有明町大三東戊１３２７,0957-68-5472,,島原市教育委員会　学校教育課,ｼﾏﾊﾞﾗｼｷｮｳｲｸｲｲﾝｶｲ ｶﾞｯｺｳｷｮｳｲｸｶ,859-1492,島原市有明町大三東戊１３２７,0957-68-5472,,2025.3.31解約,,
E-000001308,2025/7/29 11:37,契約中,1,長崎,,2023年11月,自社,N42-0697,107-1017-01,一般,YP4V,1,12000,制約なし,小川ビル,ｵｶﾞﾜﾋﾞﾙ,850-0901,長崎県長崎本石灰町6-24,"https://www.google.co.jp/maps/place/%E3%80%92850-0901+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%9C%AC%E7%9F%B3%E7%81%B0%E7%94%BA%EF%BC%96+%E5%B0%8F%E5%B7%9D%E3%83%93%E3%83%AB/@32.7419514,129.8798044,19.5z/data=!4m15!1m8!3m7!1s0x3515534025aaaaab:0x66425741ec27d8a5!2z44CSODUwLTA5MDEg6ZW35bSO55yM6ZW35bSO5biC5pys55-z54Gw55S677yW4oiS77yW!3b1!8m2!3d32.7421513!4d129.8802506!16s%2Fg%2F11v06ptcyz!3m5!1s0x3515536a9d03e387:0x3561c45ffec06dd7!8m2!3d32.7415484!4d129.8803008!16s%2Fg%2F12hsz2mh7?entry=ttu",,,ロープ式エレベーター,,三菱,,VFCLA,,2027年12月,,,ロープ式,,1990/9/1,,H4-820,6人,,450㎏,,60m/min,,6st,egs,LTE,9018627895,135,"2月	5月	8月	11月",8月,未定,0999-00108,株式会社ヘルス・アンド・ビューティー,ﾍﾙｽｱﾝﾄﾞﾋﾞｭｰﾃｨｰ,,,,810-0022,福岡県福岡市中央区今泉2丁目4-26,090-2413-9378,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000001309,2025/7/29 11:37,契約中,1,長崎,,2023年11月,自社,N42-0698,107-1018-01,一般,YP4V,1,13000,制約なし,雲仙みかどホテル,ｳﾝｾﾞﾝﾐｶﾄﾞﾎﾃﾙ,859-1501,長崎県南島原市深江町甲5292-2,"https://www.google.co.jp/maps/place/%E9%9B%B2%E4%BB%99%E3%81%BF%E3%81%8B%E3%81%A9%E3%83%9B%E3%83%86%E3%83%AB%E6%9C%AC%E9%A4%A8/@32.7297409,130.3012511,17z/data=!3m1!4b1!4m9!3m8!1s0x35400d35a1d71549:0x3b3885f528d01a23!5m2!4m1!1i2!8m2!3d32.729741!4d130.306122!16s%2Fg%2F1thkv0mh?entry=ttu",,,ルームレスエレベーター,,フジテック,,エシードα,,,,,ルームレス,,2007/3/1,,EGA4674,15人,,1000kg,,45m/min,,3st,egs,LTE,8060606614,136,"2月	5月	8月	11月",8月,未定,1674-02104,株式会社ミカド観光センター,ﾐｶﾄﾞｶﾝｺｳｾﾝﾀｰ,,,,859-1501,長崎県南島原市深江町甲5292-2,0957-72-5420,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
